id;idAnalyse;temps;distance
1;11;0.37;0.648440238345601
2;12;5.67;14.0346534653465
3;12;6.63;16.1025145067698
4;12;7.4;17.5918762088975
5;12;8.28;19.294003868472
6;12;9.14;20.9574468085106
7;12;10.03;22.678916827853
8;12;10.93;24.4197292069632
9;12;11.86;26.2103746397695
10;12;12.78;27.9779058597502
11;12;13.74;29.8222862632085
12;12;14.67;31.6090297790586
13;12;15.54;33.2804995196926
14;12;16.45;35.028818443804
15;12;17.38;36.8155619596542
16;12;18.3;38.583093179635
17;12;19.2;40.312199807877
18;12;20.22;42.2718539865514
19;12;21.18;44.1162343900096
20;12;22.13;45.9040590405904
21;12;23.04;47.5830258302583
22;12;24.06;49.4649446494465
23;13;6.24;15.1104972375691
24;13;7.24;16.9521178637201
25;13;8.23;18.7753222836096
26;13;9.18;20.524861878453
27;13;10.15;22.3112338858195
28;13;11.15;24.1528545119705
29;13;12.09;25.8586762075134
30;13;13.14;27.737030411449
31;13;14.09;29.4364937388193
32;13;15;31.0644007155635
33;13;15.97;32.7996422182469
34;13;16.95;34.5527728085868
35;13;17.93;36.3059033989267
36;13;18.98;38.1842576028623
37;13;19.92;39.865831842576
38;13;20.91;41.6368515205724
39;13;21.94;43.479427549195
40;13;22.87;45.1438848920863
41;13;23.87;46.9424460431655
42;13;24.9;48.794964028777
43;19;6.56;12.1182266009852
44;19;7.64;14.1133004926108
45;19;8.79;15.9809663250366
46;19;9.97;17.7086383601757
47;19;11.13;19.407027818448
48;19;12.3;21.1200585651537
49;19;13.37;22.6866764275256
50;19;14.41;24.2093704245974
51;19;15.53;25.832137733142
52;19;16.66;27.4533715925395
53;19;17.77;29.0459110473458
54;19;18.85;30.5954088952654
55;19;20.05;32.3170731707317
56;19;21.2;33.9670014347202
57;19;22.31;35.5595408895265
58;19;23.5;37.2668579626973
59;19;24.61;38.8593974175036
60;19;25.77;40.5236728837877
61;19;26.96;42.2309899569584
62;19;28.03;43.7661406025825
63;19;29.34;45.6410256410256
64;19;30.3;47.008547008547
65;19;31.59;48.8461538461538
66;14;5.76;13.5
67;14;6.28;14.71875
68;14;6.85;15.875486381323
69;14;7.35;16.8482490272374
70;14;7.84;17.8015564202335
71;14;8.38;18.852140077821
72;14;8.87;19.8054474708171
73;14;9.37;20.7782101167315
74;14;9.83;21.6731517509728
75;14;10.34;22.6653696498054
76;14;10.9;23.7548638132296
77;14;11.36;24.6498054474708
78;14;11.9;25.6569343065693
79;14;12.42;26.6058394160584
80;14;12.95;27.5729927007299
81;14;13.48;28.5401459854015
82;14;14.01;29.507299270073
83;14;14.55;30.492700729927
84;14;15.08;31.4598540145985
85;14;15.57;32.3540145985401
86;14;16.07;33.2664233576642
87;14;16.58;34.1970802919708
88;14;17.12;35.1824817518248
89;14;17.58;36.021897810219
90;14;18.16;37.0802919708029
91;14;18.68;38.029197080292
92;14;19.2;38.978102189781
93;14;19.68;39.8540145985401
94;14;20.24;40.8759124087591
95;14;20.79;41.8795620437956
96;14;21.35;42.9014598540146
97;14;21.87;43.8503649635037
98;14;22.48;44.963503649635
99;14;22.96;45.8333333333333
100;14;23.52;46.8478260869565
101;14;24.06;47.8260869565217
102;14;24.64;48.8768115942029
103;15;4.77;12.5968309859155
104;15;5.2;13.7323943661972
105;15;5.74;15.1327433628319
106;15;6.18;16.1061946902655
107;15;6.7;17.2566371681416
108;15;7.2;18.3628318584071
109;15;7.7;19.4690265486726
110;15;8.16;20.4867256637168
111;15;8.66;21.5929203539823
112;15;9.12;22.6106194690265
113;15;9.62;23.716814159292
114;15;10.11;24.8008849557522
115;15;10.64;25.8943089430894
116;15;11.14;26.9105691056911
117;15;11.62;27.8861788617886
118;15;12.14;28.9430894308943
119;15;12.64;29.9593495934959
120;15;13.16;31.0162601626016
121;15;13.72;32.1544715447154
122;15;14.22;33.1707317073171
123;15;14.74;34.2276422764228
124;15;15.24;35.2439024390244
125;15;15.76;36.3008130081301
126;15;16.3;37.3983739837398
127;15;16.8;38.4146341463415
128;15;17.35;39.5325203252033
129;15;17.91;40.6707317073171
130;15;18.46;41.7886178861789
131;15;18.96;42.8048780487805
132;15;19.49;43.8821138211382
133;15;20.1;45.1276595744681
134;15;20.65;46.2978723404255
135;15;21.22;47.5106382978723
136;15;21.73;48.5957446808511
137;15;22.32;49.8510638297872
138;16;5.24;13.3901192504259
139;16;5.58;14.2589437819421
140;16;6.1;15.4925053533191
141;16;6.58;16.5203426124197
142;16;7.12;17.6766595289079
143;16;7.57;18.6402569593148
144;16;8.04;19.6466809421842
145;16;8.52;20.6745182012848
146;16;9.02;21.745182012848
147;16;9.52;22.8158458244111
148;16;10;23.8436830835118
149;16;10.48;24.8715203426124
150;16;10.96;25.8416833667335
151;16;11.46;26.8436873747495
152;16;12.02;27.9659318637275
153;16;12.51;28.9478957915832
154;16;13.06;30.0501002004008
155;16;13.56;31.0521042084168
156;16;14.13;32.1943887775551
157;16;14.63;33.1963927855711
158;16;15.17;34.2785571142285
159;16;15.66;35.2605210420842
160;16;16.2;36.3426853707415
161;16;16.66;37.2645290581162
162;16;17.22;38.3867735470942
163;16;17.76;39.4689378757515
164;16;18.28;40.5110220440882
165;16;18.76;41.4729458917836
166;16;19.36;42.6753507014028
167;16;19.9;43.7575150300601
168;16;20.42;44.7995991983968
169;16;20.94;45.84
170;16;21.54;47.04
171;16;22.08;48.12
172;16;22.7;49.36
173;4;7.17;15.5841924398625
174;4;7.77;16.6151202749141
175;4;8.47;17.8178694158076
176;4;9.19;19.0549828178694
177;4;9.93;20.3264604810997
178;4;10.68;21.6151202749141
179;4;11.47;22.9725085910653
180;4;12.27;24.3470790378007
181;4;13.05;25.609756097561
182;4;13.78;26.7225609756098
183;4;14.67;28.0792682926829
184;4;15.41;29.2073170731707
185;4;16.24;30.4725609756098
186;4;17.02;31.6615853658537
187;4;17.88;32.9725609756098
188;4;18.62;34.1006097560976
189;4;19.46;35.3810975609756
190;4;20.16;36.4481707317073
191;4;21.06;37.8201219512195
192;4;21.8;38.9481707317073
193;4;22.72;40.3506097560976
194;4;23.5;41.5396341463415
195;4;24.37;42.8658536585366
196;4;25.25;44.2073170731707
197;4;26.07;45.4297994269341
198;4;26.93;46.6618911174785
199;4;27.74;47.8223495702006
200;4;35.18;63.3391608391608
201;4;35.71;64.2657342657343
202;4;36.29;65.3041825095057
203;4;36.9;66.4638783269962
204;4;37.44;67.4904942965779
205;4;38;68.5551330798479
206;4;38.51;69.5247148288973
207;4;39.09;70.6273764258555
208;4;39.62;71.6349809885931
209;4;40.16;72.6615969581749
210;4;40.71;73.7072243346008
211;4;41.25;74.7338403041825
212;4;41.84;75.7950530035336
213;4;42.42;76.8197879858657
214;4;42.95;77.756183745583
215;4;43.51;78.7455830388693
216;4;44.06;79.7173144876325
217;4;44.63;80.7243816254417
218;4;45.19;81.7137809187279
219;4;45.75;82.7031802120141
220;4;46.34;83.7455830388693
221;4;46.91;84.7526501766784
222;4;47.49;85.7773851590106
223;4;48.08;86.8197879858657
224;4;48.67;87.8621908127209
225;4;49.19;88.7809187279152
226;4;49.93;90.0883392226148
227;4;50.35;90.8303886925795
228;4;50.95;91.8904593639576
229;4;51.54;92.9328621908127
230;4;52.19;94.0812720848056
232;4;52.67;94.9293286219081
233;4;53.33;96.2015503875969
234;4;53.89;97.2868217054264
235;4;54.49;98.4496124031008
236;4;55.04;99.515503875969
237;37;5.6;13.4615384615385
238;37;6.08;14.6153846153846
239;37;6.6;15.6870229007634
240;37;7.1;16.6412213740458
241;37;7.61;17.6145038167939
242;37;8.08;18.5114503816794
243;37;8.65;19.5992366412214
244;37;9.1;20.4580152671756
245;37;9.61;21.4312977099237
246;37;10.08;22.3282442748092
247;37;10.59;23.3015267175573
248;37;11.14;24.3511450381679
249;37;11.66;25.3321033210332
250;37;12.14;26.2177121771218
251;37;12.69;27.2324723247232
252;37;13.23;28.2287822878229
253;37;13.76;29.2066420664207
254;37;14.25;30.1107011070111
255;37;14.85;31.2177121771218
256;37;15.34;32.1217712177122
257;37;15.85;33.0627306273063
258;37;16.4;34.0774907749077
259;37;16.89;34.9815498154982
260;37;17.39;35.9040590405904
261;37;17.94;36.9188191881919
262;37;18.47;37.8966789667897
263;37;19.01;38.8929889298893
264;37;19.52;39.8339483394834
265;37;20;40.719557195572
266;37;20.52;41.6789667896679
267;37;20.98;42.5276752767528
268;37;21.58;43.6346863468635
269;37;22.05;44.5018450184502
270;37;22.59;45.4856115107914
271;37;23.12;46.4388489208633
272;37;23.66;47.410071942446
273;37;24.14;48.273381294964
274;37;24.74;49.3525179856115
275;38;4.8;13.0909090909091
276;38;5.24;14.2909090909091
277;38;5.72;15.4782608695652
278;38;6.24;16.6086956521739
279;38;6.72;17.6521739130435
280;38;7.18;18.6521739130435
281;38;7.7;19.7826086956522
282;38;8.16;20.7826086956522
283;38;8.68;21.9130434782609
284;38;9.12;22.8695652173913
285;38;9.62;23.9565217391304
286;38;10.08;24.9565217391304
287;38;10.61;26.0537190082645
288;38;11.08;27.0247933884298
289;38;11.58;28.0578512396694
290;38;12.1;29.1322314049587
291;38;12.6;30.1652892561983
292;38;13.08;31.1570247933884
293;38;13.66;32.3553719008264
294;38;14.15;33.3677685950413
295;38;14.68;34.4628099173554
296;38;15.2;35.5371900826446
297;38;15.77;36.7148760330578
298;38;16.2;37.603305785124
299;38;16.82;38.8842975206612
300;38;17.28;39.8347107438017
301;38;17.9;41.1157024793388
302;38;18.4;42.1487603305785
303;38;18.98;43.3471074380165
304;38;19.49;44.400826446281
305;38;20.08;45.6410256410256
306;38;20.62;46.7948717948718
307;38;21.22;48.0769230769231
308;38;21.84;49.4017094017094
309;39;5.53;13.5761047463175
310;39;5.97;14.6563011456628
311;39;6.47;15.6909788867562
312;39;6.99;16.6890595009597
313;39;7.53;17.725527831094
314;39;7.98;18.5892514395393
315;39;8.49;19.5681381957774
316;39;8.96;20.4702495201536
317;39;9.48;21.468330134357
318;39;9.95;22.3704414587332
319;39;10.47;23.3685220729367
320;39;10.91;24.2130518234165
321;39;11.43;25.2037037037037
322;39;11.99;26.2407407407407
323;39;12.44;27.0740740740741
324;39;12.92;27.962962962963
325;39;13.48;29
326;39;13.97;29.9074074074074
327;39;14.47;30.8333333333333
328;39;14.98;31.7777777777778
329;39;15.49;32.7222222222222
330;39;16.04;33.7407407407407
331;39;16.57;34.7222222222222
332;39;17.12;35.7407407407407
333;39;17.61;36.6481481481481
334;39;18.12;37.5925925925926
335;39;18.59;38.462962962963
336;39;19.11;39.4259259259259
337;39;19.55;40.2407407407407
338;39;20.09;41.2407407407407
339;39;20.57;42.1296296296296
340;39;21.11;43.1296296296296
341;39;21.61;44.0555555555556
342;39;22.17;45.0902527075812
343;39;22.63;45.9205776173285
344;39;23.19;46.9314079422383
345;39;23.72;47.8880866425993
347;39;24.33;48.9891696750902
348;40;5.07;13.8272727272727
349;40;5.46;14.8909090909091
350;40;5.98;16.0549450549451
351;40;6.48;17.1538461538462
352;40;6.93;18.1428571428571
353;40;7.41;19.1978021978022
354;40;7.9;20.2747252747253
355;40;8.39;21.3516483516484
356;40;8.86;22.3846153846154
357;40;9.32;23.3956043956044
358;40;9.78;24.4065934065934
359;40;10.26;25.4361370716511
360;40;10.79;26.5368639667705
361;40;11.29;27.5752855659398
362;40;11.74;28.5098650051921
363;40;12.25;29.5690550363448
364;40;12.7;30.5036344755971
365;40;13.23;31.6043613707165
366;40;13.68;32.5389408099688
367;40;14.19;33.5981308411215
368;40;14.69;34.6365524402908
369;40;15.14;35.5711318795431
370;40;15.66;36.6510903426791
371;40;16.2;37.7725856697819
372;40;16.73;38.8733125649013
373;40;17.23;39.9117341640706
374;40;17.74;40.9709241952233
375;40;18.23;41.9885773624091
376;40;18.74;43.0477673935618
377;40;19.22;44.0446521287643
378;40;19.74;45.126582278481
379;40;20.25;46.2025316455696
380;40;20.84;47.4472573839662
381;40;21.3;48.4177215189873
382;40;21.94;49.7679324894515
383;41;5.39;13.475
384;41;6.26;15.5138339920949
385;41;7.11;17.1936758893281
386;41;7.99;18.9328063241107
387;41;8.82;20.5731225296443
388;41;9.75;22.4110671936759
389;41;10.52;23.9328063241107
390;41;11.36;25.5687203791469
391;41;12.26;27.2748815165877
392;41;13.19;29.0379146919431
393;41;14.11;30.781990521327
394;41;14.98;32.4312796208531
395;41;15.89;34.1563981042654
396;41;16.76;35.8056872037915
397;41;17.67;37.5308056872038
398;41;18.54;39.1800947867299
399;41;19.47;40.9431279620853
400;41;20.58;43.0473933649289
401;41;21.34;44.4881516587678
402;41;22.27;46.2595419847328
403;41;23.16;47.9580152671756
404;41;24.12;49.7900763358779
405;42;5.45;13.8794567062818
406;42;6.31;15.8267716535433
407;42;7.13;17.4409448818898
408;42;8.02;19.1929133858268
409;42;8.93;20.9842519685039
410;42;9.83;22.755905511811
411;42;10.64;24.3503937007874
412;42;11.51;26.0131332082552
413;42;12.45;27.7767354596623
414;42;13.34;29.4465290806754
415;42;14.26;31.172607879925
416;42;15.12;32.7861163227017
417;42;15.93;34.3058161350844
418;42;16.9;36.1257035647279
419;42;17.72;37.6641651031895
420;42;18.68;39.4652908067542
421;42;19.58;41.1538461538462
422;42;20.51;42.8986866791745
423;42;21.33;44.437148217636
424;42;22.31;46.3545816733068
425;42;23.19;48.1075697211155
426;42;24.07;49.8605577689243
427;1;6.89;12.481884057971
429;1;9.86;17.2507122507123
430;1;11.18;19.1310541310541
431;1;12.51;21.025641025641
432;1;8.33;15.0712250712251
433;1;13.8;22.8632478632479
434;1;14.94;24.4871794871795
435;1;16.48;26.6690240452617
436;1;17.7;28.3946251768034
437;1;19.02;30.2616690240453
438;1;20.31;32.0862800565771
439;1;21.58;33.8826025459689
440;1;22.83;35.6506364922206
441;1;24.11;37.4611032531825
442;1;25.47;39.3847241867044
443;1;26.81;41.2800565770863
444;1;28.03;43.005657708628
445;1;29.32;44.8302687411598
446;1;30.6;46.6201117318436
447;1;32.05;48.645251396648
448;1;39.65;59.9017199017199
449;1;40.96;61.5110565110565
450;1;42.38;63.2555282555283
453;1;44.89;66.4690026954178
454;1;46.28;68.3423180592992
455;1;47.78;70.3638814016172
456;1;49.08;72.1159029649596
457;1;50.36;73.8409703504043
458;1;51.78;75.737812911726
459;1;53.1;77.4769433465086
460;1;54.4;79.1897233201581
461;1;55.73;80.9420289855072
462;1;57.02;82.6416337285903
463;1;58.35;84.3939393939394
464;1;59.62;86.0671936758893
465;1;60.95;87.8194993412385
466;1;62.16;89.4137022397892
467;1;63.47;91.1396574440053
468;1;64.74;92.8129117259552
469;1;65.96;94.4202898550725
470;1;67.47;96.4420485175202
471;1;68.69;98.0862533692722
472;2;6.13;13.6627043090639
473;2;6.61;14.7325408618128
474;2;7.28;16
475;2;7.8;16.9454545454545
476;2;8.41;18.0545454545455
477;2;8.94;19.0181818181818
478;2;9.52;20.0727272727273
479;2;10.1;21.1272727272727
480;2;10.72;22.2545454545455
481;2;11.26;23.2363636363636
482;2;11.95;24.4909090909091
483;2;12.55;25.551724137931
484;2;13.13;26.551724137931
485;2;13.75;27.6206896551724
486;2;14.4;28.7413793103448
487;2;14.97;29.7241379310345
488;2;15.62;30.8448275862069
489;2;16.22;31.8793103448276
490;2;16.87;33
491;2;17.46;34.0172413793103
492;2;18.14;35.1896551724138
493;2;18.77;36.2758620689655
494;2;19.4;37.3620689655172
495;2;19.95;38.3103448275862
496;2;20.65;39.5172413793103
497;2;21.3;40.6379310344828
498;2;21.94;41.7413793103448
499;2;22.71;43.0689655172414
500;2;23.33;44.1379310344828
501;2;24.03;45.2949852507375
502;2;24.62;46.165191740413
503;2;25.3;47.1681415929204
504;2;25.94;48.1120943952802
505;2;31.84;60.078125
506;2;32.41;60.96875
507;2;32.97;61.84375
508;2;33.61;62.84375
509;2;34.33;63.96875
511;2;34.89;64.84375
512;2;35.56;65.95
513;2;36.14;66.9166666666667
514;2;36.74;67.9166666666667
515;2;37.39;69
516;2;38.02;70.05
517;2;38.71;71.2
518;2;39.35;72.2666666666667
